iter	RMSE
319	0.2969116686
320	0.2963104752
321	0.295840374
322	0.2952659173
323	0.2948000578
324	0.2941518793
325	0.2936935422
326	0.2933120004
327	0.2924941885
328	0.2918487861
329	0.2911487717
330	0.2904942131
331	0.2898854726
332	0.2894166115
333	0.2889884371
334	0.2885452587
335	0.2877922722
336	0.287287928
337	0.2867899068
338	0.2860501278
339	0.2855693199
340	0.2849487238
341	0.2843380576
342	0.2838862135
343	0.2834359431
344	0.2830049906
345	0.2826150666
346	0.2821502551
347	0.2815708126
348	0.2811488203
349	0.2807501716
350	0.280286358
351	0.2795451787
352	0.2791008966
353	0.2789169863
354	0.2787429245
355	0.2781493491
356	0.2777075972
357	0.2772229355
358	0.2768614079
359	0.2765935542
360	0.2762732681
361	0.27581796
362	0.2751543104
363	0.2747535606
364	0.2741136551
365	0.2735185791
366	0.2728428194
367	0.2722961302
368	0.2717086282
369	0.2711703244
370	0.270703648
371	0.2703488822
372	0.270177671
373	0.269785687
374	0.2693441301
375	0.2691373927
376	0.268684607
377	0.2681556025
378	0.2675501676
379	0.2672535322
380	0.2667525727
381	0.2662769048
382	0.2656505961
383	0.265230077
384	0.2648641368
385	0.2643825688
386	0.2640648867
387	0.2635441763
388	0.2631054727
389	0.2626676344
390	0.2620549024
391	0.2613806815
392	0.2609367811
393	0.2605564959
394	0.2600483131
395	0.259700183
396	0.2591995114
397	0.2588913733
398	0.2584170855
399	0.2579220717
